P1 - DS_WallThickness,P2 - DS_Width,P3 - DS_Height,P4 - DS_FloorThickness,P8 - DS_Length,P6 - Directional Deformation Maximum [m],P7 - Geometry Mass [kg]
0.11164093,1.3456403,0.63974768,0.05197484,5.65711165,1.02E-06,0.126038751
0.0860768,1.3456403,0.63974768,0.12703035,5.65711165,1.37E-06,0.102639302
0.09963079,1.3456403,0.63974768,0.11889948,5.65711165,1.17E-06,0.115416139
0.07166523,1.3456403,0.63974768,0.14701794,5.65711165,1.65E-06,0.088103428
0.10460604,1.3456403,0.63974768,0.08440099,5.65711165,1.10E-06,0.119894936
0.11883707,1.3456403,0.63974768,0.19594258,5.65711165,9.44E-07,0.132098238
0.06204816,1.3456403,0.63974768,0.13166213,5.65711165,1.91E-06,0.077840428
0.0659992,1.3456403,0.63974768,0.0995114,5.65711165,1.79E-06,0.082112307
0.12053066,1.3456403,0.63974768,0.10717585,5.65711165,9.27E-07,0.133491713
0.05678717,1.3456403,0.63974768,0.17477695,5.65711165,2.08E-06,0.072030657
